Department,IR,PI,DD,TD_0.2,TD_1.0,TD_TipUp,Cap_TipUp
BPH,4.82,2.6348,1.71,1.823,2.195,0.372,0.9169
BPH,11.4,2.41,0.4,1.348,1.404,0.056,0.068
BPH,42.8,3.15,0.24,0.669,0.69,0.021,0.03
RMBB # 1,18.6,5.069,0.4,2.57,2.94,0.37,0.756
RMBB # 1,15.1,3.06,0.39,2.49,2.81,0.32,0.789
PH # 3,30.2,2.32,0.42,1.55,1.31,-0.24,0.096
PH # 3,27.8,3.29,0.61,1.561,1.648,0.087,0.0004
PH3,37.4,3.39,0.43,1.1526,1.2124,0.0598,0.106
G-BF,9.47,2.23,1.05,1.071,2.07,0.99,1.26
BPH,12.77,2.41,0.56,1.01158,1.04655,0.0349,0.0505
CP,9.01,7.36,0.62,1.104,1.253,0.149,0.183
PH # 3,21.7,3.1,0.49,2.474,2.599,0.125,-0.013
BPH # 2,24.7,6.62,0.43,1.546,1.568,0.022,0.062
RMBB # 1,17.75,4.65,0.46,0.884,1.277,0.393,0.466
RMBB # 1,16.8,4.25,0.46,0.875,1.243,0.368,0.429
RMBB # 1,9.72,3.87,0.62,0.759,1.21,0.451,0.63
LD # 3,28.7,3.62,0.36,0.673,0.8894,0.21,0.25
BF,4.23,3.19,1.51,2.02452,2.35102,0.327,0.51
G-BF,7.96,3.52,0.61,1.178,1.754,0.576,0.794
RMBB # 2,13.54,3.28,0.78,1.276,1.569,0.314,0.301
RMBB # 2,25.9,6.49,0.5,0.627,0.784,0.1573,0.154
HSM ,6.73,2.08,0.51,0.646,0.895,0.249,0.272
RMBB # 2,31.8,8.74,0.51,0.771,1.362,0.59,0.6
LD # 1,15.6,6.75,0.63,1.10671,1.41131,0.304,0.38
PH3,8.69,3.69,0.5,1.547,1.66,0.113,0.13
HSM ,3.93,2.86,1.23,1.24,1.92,0.68,0.94
HSM ,3.39,2.33,1.13,1.15,1.65,0.5,0.67
RMH,10.8,4.83,0.95,1.0751,1.83548,0.76,1
BF,23.5,5.42,1.69,0.791,0.817,0.026,-0.082
HSM ,9.77,2.23,0.81,0.655,0.678,0.023,0.045
HSM ,36.8,4.31,0.31,0.539,0.556,0.017,0.035
HSM ,10.8,3.29,0.94,0.612,0.624,0.0115,0.0604
HSM ,12.6,2.24,0.61,1.06,1.081,0.021,0.19
HSM ,5.5,4.75,1.51,2.45372,2.8819,0.42,0.48
G-BF,7.13,3.41,1.63,1.18006,1.71434,0.534,0.668
PH # 4,8.22,5.84,2.45,2.686,2.738,0.052,0.07
PH4,23.5,4.14,0.6,1.093,1.584,0.49,0.6
LD # 2,5.78,5.33,0.63,1.00476,1.16142,0.15,0.2
LD # 2,12.3,2.6,0.7,1.4136,1.80927,0.395,0.467
CP,3.91,2.37,0.86,1.02,1.419,0.39,0.47
CP,7.05,3.15,0.62,1.00896,1.42035,0.41139,0.494
LD  2,14.76,3.94,0.91,0.7874,0.866,0.081,0.098
LD2,15.6,5.18,0.75,1.0229,1.2194,0.196,0.262
LD # 2,10.69,5.38,1.01,0.988,1.175,0.187,0.245
LD # 2,20.9,5.66,0.62,0.632,0.742,0.11,0.132
LD # 2,4.03,3.68,2.59,2.3456,2.55611,0.21,0.33
LD # 2,8.9,3.33,0.96,1.155,1.318,0.163,0.203
LD # 2,12.4,4.14,0.82,0.987,1.162,0.175,0.218
LD # 2,31.3,7.4,0.47,0.792,0.993,0.201,0.236
LD # 2,3.64,2.92,2.67,1.228,1.534,0.306,0.354
LD # 2 ,8.16,3.5,1.26,1.75,1.93,0.18,0.259
NBM,12.6,4.75,0.81,0.77181,0.83925,0.067,0.063
NBM,21.1,5.49,0.45,0.529,0.587,0.058,0.078
I-BF,6.6,4.78,0.96,1.3941,1.6476,0.25,0.367
I-BF,3.96,4,1.53,1.638,1.923,0.285,0.329
I-BF,4.63,5.3,1.33,1.593,1.897,0.304,0.361
I-BF,8.56,5.3,0.61,1.028,1.309,0.28,0.34
I-BF,11.8,5.17,0.5,0.908573,1.55525,0.6466,0.838
I-BF,11.8,5.17,0.5,0.908573,1.55525,0.6466,0.838
I-BF,6.52,4.69,0.82,1.23126,1.75654,0.52,0.62
LD # 2,17.6,6.51,0.44,0.887,0.061,0.174,0.208
HSM ,3.05,3.21,1.56,1.41,1.58,0.171,0.29
HSM ,8.12,2.25,0.83,1.386,1.559,0.173,0.257
LD  # 2,3.98,2.15,1.59,2.04,2.08,0.043,1.02
LD1,17.1,5.46,0.66,0.733,0.91,0.177,0.2057
LD # 1,16.15,5.21,0.63,0.92645,1.000848,0.16,0.18
LD # 1,8.62,3.48,1.15,0.838,1.208,0.37,0.38
LD # 1,12.65,3.13,0.66,0.902,1.244,0.342,0.377
LD # 1,6.19,2.54,1,0.772,1.026,0.254,0.275
LD # 2,13.3,3.72,0.75,1.77689,2.3592,0.5823,0.962
NBM,8.4,3.85,0.99,1.073,1.418,0.345,0.4
LD # 2,8.34,6.29,0.49,1.026,1.538,0.512,0.81
LD # 2 ,6.43,5.41,0.63,1.048,1.601,0.55,0.93
LD2,8.31,5.89,0.44,0.999,1.131,0.13,0.37
LD2,30.7,2.44,0.26,1.1553,1.3912,0.235,0.345
G-BF,11.3,4.21,0.65,1.61,1.726,0.11,0.12
CRM,4.93,3.04,1.4,1.46,1.71,0.249,0.376
CRM,13.6,3.68,0.45,0.899477,1.11837,0.218,0.288
HSM ,5.21,4.24,0.97,1.101,1.375,0.27,0.32
PP,3.16,3.51,0.73,1.695,1.848,0.15,0.2
LD3 IEM,19.8,2.34,0.37,0.669,0.848,0.17,0.24
H-BF,7.5,3.61,0.85,0.672,1.214,0.54,0.62
H-BF,7.58,2.68,0.73,0.654273,1.31461,0.66,0.771
H-BF,7.7,6.27,0.95,0.777,1.47,0.693,0.767
H-BF,7.61,5.69,1.01,1.502,1.7865,0.284,0.587
H-BF,10.31,4.99,0.71,0.915,1.197,0.28,0.27
H-BF,7.21,6.47,1.1,1.226,1.767,0.54,0.62
G-BF,37.5,5.26,0.2,0.6548,1.0175,0.367,0.527
G-BF,10.7,2.6,0.33,0.74,0.9456,0.2056,0.335
CP,2.1,6.63,1.35,1.792,2.096,0.304,0.16
CP,2.32,5.91,1.32,1.78658,1.97557,0.18,0.24
CP,5.3,5.82,0.56,1.626,1.808,0.182,0.229
G-BF,9.55,2.27,0.31,1.102,1.465,0.363,0.439
CRM   ,19.1,3.23,0.3,1.09,1.23,0.14,0.213
RMH,25.9,2.55,0.21,0.62,1.11,0.491,0.87
PH # 3,26.6,7.76,0.18,0.534,0.696,0.162,0.15
PH # 3,31.3,7.01,0.18,0.55225,0.53434,-0.02,0.03
PH # 4,34,3.78,0.26,0.734928,0.971637,0.236,0.318
PH # 4,45.8,5.07,0.21,0.4637,0.6809,0.21,0.277
LD # 1,14,2.57,0.38,1.38,1.936,0.556,0.669
LD2,32.5,3.94,0.27,1.42,1.72,0.3,0.36
G-BF,30.5,3.77,0.27,1.032,1.449,0.417,0.613
G-BF,36.8,6.47,0.2,0.756,0.314,0.314,0.471
G-BF,31,5.5,0.23,0.93132,1.25076,0.31944,0.454
RMBB # 1,14.9,4.61,0.47,0.709969,1.12,0.41,0.65
RMH,25.9,3.87,0.21,0.535255,0.962342,0.427,0.664
RMH,20,2.13,0.36,0.64446,0.95331,0.308,0.427
BPH,31.1,5.79,0.21,0.815,1.198,0.383,0.58
BF,26,4.37,2.99,1.33209,1.34498,0.012,-0.23
CP,14.9,3.25,0.75,0.973,1.414,0.441,0.562
LD # 1,16.6,7.05,0.46,1.563,1.609,0.136,0.256
BF,40.2,12.8,0.32,1.374,1.683,0.309,0.696
BPH,1.69,2.63,2.37,1.54,2.21,0.67,0.795
HSM,8.27,5.92,0.83,0.664,1.092,0.428,0.459
LD # 2,20.6,3.17,0.59,1.296,1.621,0.325,0.788
BF,5.15,3.42,2.37,1.92,2.079,0.159,0.011
HSM ,2.15,3.37,2.66,1.67,2.14,0.47,0.507
H-BF,6.38,5.05,0.5,2.72,2.79,0.07,0.575
H-BF,5.57,3.69,0.61,0.787,1.3,0.513,0.449
I-BF,3.54,3.31,0.63,2.042,2.194,0.152,0.398
H-BF,9.95,5.2,0.5,1.447,1.666,0.21,0.39
H-BF,2.16,2.56,1.34,1.83596,2.12078,0.28,0.43
H-BF,8.74,4.97,0.47,2.52,2.422,0.098,0.458
LD # 2,13.2,2.06,0.42,0.645,1.769,1.124,1.42
LD#2,25.1,2.36,0.32,0.637,1.738,1.101,1.44
SP # 4,10.4,3.98,0.49,0.925,1.246,0.321,0.5
FME,14.7,2.8,0.66,1.41,2.8,1.38,4.56
FME,1.09,1.77,2.38,1.518,2.831,1.313,2.94
FME,1.42,1.79,2.88,2.936,3.466,0.52,3.07
I-BF,7.54,4.75,1.43,2.46,3.254,0.794,1.86
I-BF,4.02,3.09,2.73,1.685,2.466,0.78,1.15
H-BF,1.15,1.47,1.53,0.644,3.579,2.935,3.43
LD  2,0.5,1.49,0.48,0.867,2.904,2.036,2.08
LD#2,17.28,1.84,0.29,0.733,2.772,2.039,2.71
BPH,34.9,5.73,0.22,0.644,2.888,2.244,2.91
BPH,15.7,1.88,0.28,0.648,2.797,2.149,2.65
LD2,7.61,3.17,1.46,2.097,2.249,0.152,0.16
LD2,14.72,6.63,0.82,1.15,1.27,0.12,0.12
HSM,0.5,2.87,1.43,2.05,2.3,0.25,1.04
HSM ,0.09,1.52,1.34,2.339,2.665,0.32,0.95
HSM,6.75,4.67,0.71,1.374,1.598,0.224,0.43
I-BF,7.78,4.01,0.53,1.995,2.46,0.465,1.51
FME,7.38,4.01,0.55,5.686,5.151,-0.53,3.5
